性别,年龄,悲伤 - 患者反应 1,悲伤 - 患者反应 2,悲伤 - 患者反应 3,悲伤 - 这是由特定事件引起的吗？,悲伤 - 这是由最近或遥远的事件（或事件）引起的吗？,悲伤 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 您最近是否尝试过协议 11 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 谢谢。现在我会问一些问题以了解您的情况。,悲伤 - 您是否对某人有强烈的感受或表达以下任何情绪：,悲伤 - 你认为你应该成为别人的救世主吗？,悲伤 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,悲伤 - 你觉得你在试图控制某人吗？,悲伤 - 当出现问题时，您是否总是责怪和指责自己？,悲伤 - 在之前的对话中，您是否考虑过其他提出的观点？,悲伤 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,愤怒 - 患者反应 1,愤怒 - 患者反应 2,愤怒 - 患者反应 3,愤怒 - 这是由特定事件引起的吗？,愤怒 - 这是由最近或遥远的事件（或多个事件）引起的吗？,愤怒 - 您最近是否尝试过协议 6，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 谢谢。现在我会问一些问题以了解您的情况。,愤怒 - 您是否对某人有强烈的感受或表达以下任何情绪：,愤怒 - 你认为你应该成为别人的救星吗？,愤怒 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,愤怒 - 你觉得你在试图控制某人吗？,愤怒 - 当出现问题时，您是否总是责怪和指责自己？,愤怒 - 在之前的对话中，您是否考虑过其他提出的观点？,愤怒 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,焦虑 - 患者反应 1,焦虑 - 患者反应 2,焦虑 - 患者反应 3,焦虑 - 这是由特定事件引起的吗？,焦虑 - 这是由最近或遥远的事件（或多个事件）引起的吗？,焦虑 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,焦虑 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,着急 - 谢谢。现在我会问一些问题以了解您的情况。,焦虑 - 您是否对某人强烈感受到或表达了以下任何情绪：,焦虑 - 你认为你应该成为别人的救星吗？,焦虑 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,焦虑 - 你是否觉得你在试图控制某人？,焦虑 - 当出现问题时，您是否总是责怪和指责自己？,焦虑 - 在之前的对话中，您是否考虑过其他提出的观点？,焦虑 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,快乐 - 患者反应 1,快乐 - 患者反应 2,快乐 - 患者反应 3,快乐 - 那很好！让我推荐一个您可以尝试的协议。,所有情绪 - 根据您所说的，我相信您正在感受{}。这个对吗？,所有情绪 - 我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,所有情绪 - 感谢您的参与。再见,所有情绪 - 这是我的建议，请选择您想尝试的协议,所有情绪 - 请现在尝试通过此协议。完成后，按“继续”,所有情绪 - 采取此协议后，您感觉更好还是更糟？,所有情绪 - 您想尝试另一种协议吗？ （病人感觉好多了）,所有情绪 - 您想尝试另一种协议吗？ （病人感觉更糟）
男性,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天真的很紧张，我似乎无法摆脱这种恐惧感,我感觉不太好。我感到压力很大，我很担心，因为我不知道为什么会有这种感觉。,我今天的心情真的很低落，我很害怕它不会好转。,我知道你现在感觉不是最好的。你认为你的感受与任何特定事件有关吗？,我知道谈论这些事情可能很难，所以谢谢你对我敞开心扉。你想告诉我更多关于这件事是什么时候发生的，是最近发生的事情还是过去发生的事情？,在某些情况下，协议 6 可用于回顾特别创伤性事件，但这有时会引发麻烦的情绪反应。你之前有没有使用过协议6，它有没有让你有任何无法控制的情绪？,在某些情况下，协议 11 可用于回顾特别创伤性事件，但这有时会引发麻烦的情绪反应。您之前是否使用过协议 11，它是否导致您有任何无法控制的情绪？,谢谢分享，我知道有时会很困难。我们可以多谈谈您目前的个人情况吗？,当我们感觉不到自己时，有时我们可以将其发泄在我们周围的人身上。您是否对生活中的任何人强烈感受到或表达了以下任何情绪：,,,,,,,我感觉很棒没什么好抱怨的,我感觉棒极了,我从未如此快乐,,,,,现在我们已经掌握了所有相关信息，我想向您推荐一些我认为会产生积极影响的协议。您可以选择最能引起您共鸣的协议。,太好了，现在我希望您尝试完成此协议。慢慢来，当你走到最后只需按“继续”。,现在你已经完成了，让我们谈谈你现在的感受。你觉得更积极还是更不积极？,太好了，这是朝着正确方向迈出的一步。我认为尝试另一种协议是个好主意，你怎么看？,如果您感觉更糟，请不要担心，这可能会发生，但我们仍然可以解决它。我们要不要尝试不同的协议，然后看看你感觉如何？
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,今天不太好，着急,我很担心,你问来干什么,我听说你很焦虑。有没有发生过的事情可能让你有这种感觉？,我很遗憾听到这个消息，希望你不介意在它发生时与我分享。是最近的还是遥远的？,我想知道现在是否有什么东西重新点燃了这种感觉。您是否尝试过记住或重温此事件并因此感到焦虑？,我想知道现在是否有什么东西重新点燃了这种感觉。您是否尝试过记住或重温此事件并因此感到焦虑？,感谢你的分享。我想问你一些问题，以便我能多了解一点。,您能否与我分享您是否强烈感受到以下任何一种情绪：,,,,,,,我感觉很好谢谢！,伟大的！,真的很好谢谢,,,,,我有一些建议可能对你有用。你能告诉我你想尝试哪种协议吗？,太好了，你现在可以试一试吗？您只需要记住在完成后按“继续”。,我想问你这是怎么回事。它让你感觉好些了吗，还是产生了相反的效果？,您想看看其他人是否也有同样的帮助吗？,您想尝试一些可能更合适的不同的东西吗？
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天很焦虑。,我感觉不太好，我担心面试。,我害怕有什么不好的事情会发生在我身上。,我很抱歉你有这种感觉。我知道这可能很难谈论，但是否有特定事件导致了这种情况？,它是最近发生的，还是过去的事件仍然影响着你？,通过尝试协议 6 来重温创伤性事件会带来消极和无法控制的情绪。您是否尝试通过执行协议 6 重新审视该事件并因此感到不舒服？,通过尝试协议 11 来重温创伤性事件会带来消极和无法控制的情绪。您是否尝试通过执行协议 11 重新审视该事件并因此感到不舒服？,谢谢你和我分享，你做得很好。你介意我再问你一些问题，以便我能更好地了解你的情况吗？,对他人有强烈的情绪是很正常的，我不是来评判你的。您是否对他人感受到或表达了以下任何情绪：,,,,,,,我感觉很好，谢谢！,我今天过得很愉快，这里没有抱怨。,我做得很好，我的心情很好。,,,,,我想推荐一些我认为非常适合您的情况的协议。请选择您要尝试的协议。,当你准备好时，请开始这个协议。完成后，按“继续”。,完成此协议后，您感觉如何，好还是坏？,我很高兴协议能够提供帮助。你想尝试另一个吗？,很抱歉，该协议无法帮助您。你想尝试另一个吗？
女性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天应付得不太好,我为自己的安全感到害怕,我很担心我们的未来,有没有什么特别的事情你能回忆起来，可能会让你有这种感觉？,这是很久以前的事件吗？或者也许是最近发生在你身上的事情？,你是否尝试过协议 6 来回想这个事件，如果你有，记住这个事件是否会让人精神崩溃？,你有没有尝试过协议 11 来回想这个事件，如果你有，记住这个事件是否会让人精神崩溃？,你的回答对我的理解很有帮助。我非常想了解更多，所以我还有几个问题，如果你觉得可以吗？,您是否对您认识的其他人强烈感受到或表达了以下任何情绪：,,,,,,,非常好,今天是个好日子,我很好,,,,,您可以选择多种选择，因此我有不止一个建议。也许您可以选择一种您现在喜欢使用的协议。,既然您已经做出选择，请遵循协议，我希望您会喜欢它。完成后，您将需要按“继续”按钮。,谢谢你。如果您能指出这项活动是否让您感觉比开始前更好或更糟，那将非常有帮助。,这真的很好，做得很好。如果您愿意，您可以选择另一个协议进行工作。,很抱歉听到它，通过它做得很好。如果您想尝试其他协议，看看这是否更适合您，还有其他选择。
男性,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到不确定和恐惧。,我对今天不是很自信，有一种不好的感觉。,由于出现症状，我必须进行 Covid 检测，而且我担心自己可能会呈阳性。,哦不，很遗憾听到它。是不是发生了什么事情触发了这些感觉？,造成这种焦虑的原因，可能是这几天发生的事情，还是感觉更遥远了？,如果我可以问一下，最近对协议 6 的尝试是否触发了这些感觉？,无论如何，如果我可以问一下，最近对协议 11 的尝试是否会触发这些感觉？,我很高兴你能够对我敞开心扉。我希望我们能进一步深入研究这个问题。,除了你提到的这些感受之外，你最近的经历也涉及到这些感受：,,,,,,,我感到活着和幸福。,我很积极也很感激。,我有一种同性恋的感觉，我对我所拥有的一切感到欣喜若狂。,,,,,我有几个选项给你。请告诉我您认为哪种协议最适合您。,那太棒了。你能不能现在就遵循这个协议，完成后点击“继续”。,能否请您表达一下您在完成此协议后的感受？,太好了，我真的很高兴！您是否也愿意尝试另一种协议？,您愿意尝试另一种可能效果更好的协议吗？
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感觉有点摇摇欲坠。,事情让我很沮丧。,我还好，就是有点着急。,那可能很粗糙。你认为它可能与发生的事情有关吗？,啊，我明白了。这是最近发生的事情还是前一阵子发生的事情？,有时不好的感觉可能会回来，因为发生了一些事情让它们再次出现。您最近是否尝试过协议 6，并且无法将自己与过去所产生的负面情绪疏远？,有时不好的感觉可能会回来，因为发生了一些事情让它们再次出现。您最近是否尝试过协议 11，并且无法将自己与过去所产生的负面情绪疏远？,我很高兴你与我分享了这一点，它真的帮助我更好地理解。我现在想问一些更多的问题来继续那段旅程。,感到焦虑也可能与其他情绪混合在一起，我想看看您是否认出此列表中的任何一种情绪，或者您是否对它们感到熟悉。您之前是否强烈体验过以下任何一种情绪：,,,,,,,非常好。,一切都感觉很顺利，很开心，谢谢！,我很好谢谢！,,,,,所以我有一些协议建议我认为对你很有效；这里有一些建议，所以看看吧。您认为哪种协议适合您？,谢谢你。现在就开始研究这个协议，我们会看看它是否有帮助。完成后按“继续”，我们将再谈一些。,谢谢你这样做。它是否有所作为，如果是这样，您现在感觉好些了，还是更糟了？,这是一个好的开始。你想继续我建议的另一个协议吗？,很抱歉它现在不合适，我们可能需要尝试一些想法才能找到我们的方法。你现在准备好尝试另一个了吗？
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感觉不太好，我最近工作太辛苦，几乎没有时间照顾自己。,我今天感到很焦虑。我的待办事项清单似乎越来越长，我工作的时间越来越长。,我感到害怕。我身体不太好，我害怕感染 Covid-19。,得知您感到焦虑，我深表遗憾。是不是发生了什么事情引发了这些焦虑情绪？,你能告诉我是什么事件触发了这些感觉，是最近的还是遥远的过去？,谢谢你和我分享这个。请问，你最近有没有讨论过这个过去的事件或试图重温它，这可能让你感到一些不适或带来一些负面情绪吗？,谢谢你和我分享这个。请问，你最近有没有讨论过这个过去的事件或试图重温它，这可能让你感到一些不适或带来一些负面情绪吗？,我真的很感谢你和我分享你的感受。如果您觉得可以继续，我想问您一些问题以进一步了解您的情况。,您过去是否曾对自己或他人表达或感受到以下任何负面情绪：,,,,,,,我感觉很棒我刚从一个小假期回来。,一切都很好。我在山上散步度过了愉快的一天。,我感觉很好。我现在正在读一本好书。,,,,,我认为以下协议对您有益。您可以选择您认为此时最适合您的那个。,请立即尝试该协议。如果您愿意继续我们的谈话，请按“继续”。,,伟大的！你想尝试另一种协议吗？,我很遗憾听到你感觉更糟。也许你想尝试另一种协议？
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,不是很好，老实说感觉有点紧张,只是担心接下来的几天,我现在脑子里有很多事情，这让我很焦虑,那真不幸。有没有什么特别的事情让你有这种感觉？,这件事是最近发生的还是过去发生的？,你是否已经尝试过重新审视这个事件却发现这样做会带来强烈的负面情绪？,你是否已经尝试过重新审视这个事件却发现这样做会带来强烈的负面情绪？,感谢您与我分享这一点，我知道这样的事情很难公开。我想提供帮助，为此，我需要询问一些有关您的情况的问题。,谢谢你和我在一起。过去，您是否对某人有过以下任何一种情绪或行为：,,,,,,,还不错，事情进展顺利,我很好,我现在感到很幸福,,,,,根据你告诉我的，这里有一些我们可以尝试的协议。请选择您现在想经历的任何事情。,好的，让我们试试这个。完成后，请按“继续”。,完成协议后，您现在感觉如何，好还是坏？,太好了，很高兴听到这个消息！您想尝试其他协议吗？,我很抱歉听到这个。您想尝试不同的协议，看看它是否更有效？
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感觉不是最好的。我很焦虑，不知道为什么。,我真的很害怕，因为我稍后要去看牙医。,我今天感觉很可怕。我很害怕失去工作。,有什么特别的事情让你有这种感觉吗？,这是最近发生的事情还是过去发生的事情？,我明白你为什么会感到焦虑。你认为尝试协议 6 会重新点燃这些难以控制的情绪吗？,我明白你为什么会感到焦虑。你认为尝试协议 11 会重新点燃这些难以控制的情绪吗？,我真的很想帮忙。如果你不介意，我想再问一些问题。,您还记得最近您是否对某人有过强烈的感受或表达过以下任何一种情绪：,,,,,,,我感觉很棒谢谢你。,生活是美好的！,我对我的新伙伴感到非常高兴和满足。,,,,,以下是您今天可以尝试的一些协议建议。我希望您选择您想尝试的协议。,请仔细阅读协议，慢慢来。完成后，按“继续”。,如果我可以问一下，您现在完成了协议，感觉如何？我希望你感觉好些，但如果你感觉更糟也没关系，告诉我，我会尽力提供帮助。,很高兴听到。您想在感觉好些时尝试另一种协议吗？,这并不理想，但请不要放弃，有些协议有时会激起一些负面情绪，这是正常的。您想此时尝试另一种协议吗？
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我的焦虑是通过屋顶。,我今天真的很累。,我的神经被击中了。,如果你觉得分享很舒服，你能告诉我这种感觉是否来自发生的特定事情吗？,这是最近发生的事情，还是过去的事情仍然在您的脑海中？,你最近有没有尝试过协议 6 并发现它把所有那些不好的感觉都带回来了？,您最近是否尝试过协议 11 并发现它让所有那些不好的感觉回来了？,谢谢分享，我知道这对你来说不容易。如果可以，我想多谈谈你的情况，以便我了解你来自哪里。,我希望你对你的处境有很多强烈的感受。您是否感受到以下任何一种情绪，无论是在内心还是向另一个人表达：,,,,,,,好冷啊,我很好谢谢。,我心情这么好。,,,,,我有一些建议给你。请查看并选择您想尝试的任何协议。,好的，您现在可以继续尝试。完成后，您可以按“继续”。,该协议是否改变了您的感受，无论是好是坏？,那太棒了！你现在想试试另一个吗？,你想用不同的方式再试一次吗？
男性,60-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感到压力很大，因为我有一个截止日期要满足。,我担心我们国家的 covid-19 的发展方向以及政府最近做出的决定，并担心我会感染该病毒。,我很担心我年迈的父亲的健康。,我希望你能应付。你介意我问你是否有特定的事件或问题引起了你的焦虑？,这个事件是最近发生的还是你已经想了一段时间了？,我意识到克服过去的消极想法可能很困难。最近尝试协议 6 是否让您回忆起这个事件，从而使您记忆犹新，并让您感到焦虑？,我意识到克服过去的消极想法可能很困难。最近尝试了协议 11 是否让您想起了这件事，从而使您记忆犹新，并让您感到焦虑？,我非常乐意倾听您的担忧并与我分享您的感受。你愿意多说几句，以便我给你提供一些有用的建议吗？,有时，焦虑可能会导致对他人缺乏信任、对他人感到愤怒或想要报复。您是否觉得您的焦虑可能导致您感受到以下任何其他情绪：,,,,,,,我今天对我的股票市场投资组合表现特别满意。,今天天气很好，我们在公园里悠闲地散步。,我的足球队今天赢了，这总是让我心情愉快。,,,,,我肯定会推荐各种协议。请选择您认为最适合您的那一项。,,你现在感觉怎么样？我希望它对你有用。,真是太好听了。您想继续并选择另一个协议吗？,很抱歉它没有为您解决，但是我可以推荐其他选择。你想尝试另一个吗？
